iter	Logloss
0	0.6888139448
1	0.6853169449
2	0.6814409795
3	0.6774727042
4	0.6734414137
5	0.6682002526
6	0.6644721577
7	0.6580783757
8	0.6535846623
9	0.6487590411
10	0.6421194295
11	0.6381238981
12	0.6339546961
13	0.6289771859
14	0.6239426009
15	0.6182101883
16	0.6153909814
17	0.6111059407
18	0.6074689909
19	0.6032097503
20	0.600169291
21	0.5951755902
22	0.5899035621
23	0.5853277891
24	0.58245605
25	0.5802572702
26	0.5758602929
27	0.5725923495
28	0.5688970435
29	0.563926755
30	0.5586204238
31	0.5555182886
32	0.5508020998
33	0.5470530969
34	0.5431838873
35	0.5415430433
36	0.5384921591
37	0.5346007602
38	0.5306487921
39	0.527228319
40	0.5240560634
41	0.5196348583
42	0.5163956271
43	0.5140266127
44	0.5091795011
45	0.5062072404
46	0.5025022667
47	0.5008196649
48	0.498332657
49	0.4962081327
50	0.493411581
51	0.4888270138
52	0.4862372711
53	0.4828478398
54	0.4800945602
55	0.4759506924
56	0.473588958
57	0.4700151982
58	0.4680949786
59	0.4639568183
60	0.4614736251
61	0.4576371753
62	0.4547610101
63	0.4517428566
64	0.4492410267
65	0.4478975252
66	0.4452249076
67	0.4423609726
68	0.4400722999
69	0.437091478
70	0.434072247
71	0.432128353
72	0.4294007571
73	0.4264712152
74	0.4236138613
75	0.4215764635
76	0.418639001
77	0.4158082336
78	0.4138671642
79	0.4113441351
80	0.4090020566
81	0.4063776904
82	0.4040324379
83	0.4017936765
84	0.3991098768
85	0.3964733677
86	0.3942051662
87	0.392955518
88	0.3905877266
89	0.3869436715
90	0.3848607012
91	0.3826473906
92	0.379348289
93	0.3759548682
94	0.3745285209
95	0.3725656407
96	0.3709952085
97	0.3691055647
98	0.3673429999
99	0.3658202077
100	0.3636334252
101	0.3619730709
102	0.3599085335
103	0.3577456292
104	0.3559619816
105	0.3532946929
106	0.3519416984
107	0.3498126605
108	0.3485596053
109	0.3468071741
110	0.3457214705
111	0.3432921198
112	0.3414868944
113	0.3399174523
114	0.3386805003
115	0.3369548011
116	0.3352985528
117	0.3329368766
118	0.3312686017
119	0.3285808418
120	0.3268636456
121	0.3250967128
122	0.3236742092
123	0.3219983632
124	0.3197389559
125	0.3175366234
126	0.3166264832
127	0.3147025654
128	0.3130015599
129	0.3106816416
130	0.3086648897
131	0.3074587756
132	0.3060502496
133	0.3047737238
134	0.3031206786
135	0.3012600382
136	0.2988345022
137	0.2975180531
138	0.2955709559
139	0.2944432033
140	0.2926594974
141	0.2909940181
142	0.2893019815
143	0.2872309212
144	0.2857413256
145	0.2839899718
146	0.2823231821
147	0.2797237717
148	0.2787365222
149	0.2773711809
150	0.2757526427
151	0.2740992189
152	0.2721982767
153	0.2709396595
154	0.2690680409
155	0.2677836527
156	0.2658499507
157	0.2644507139
158	0.2626535838
159	0.2608494649
160	0.2596642298
161	0.2585154526
162	0.2566718182
163	0.2549959721
164	0.253478305
165	0.2513605074
166	0.2498851514
167	0.2484676565
168	0.2474227498
169	0.2465264415
170	0.2453849734
171	0.2439948511
172	0.2426151247
173	0.2410867414
174	0.2399547082
175	0.2381030949
176	0.2365886601
177	0.2353876711
178	0.2343777227
179	0.233401
180	0.2317447517
181	0.2305375601
182	0.2290691492
183	0.2279693953
184	0.2269415382
185	0.2254365237
186	0.2244727011
187	0.2230365549
188	0.2220333624
189	0.2202163289
190	0.2188098558
191	0.2173154263
192	0.2154054715
193	0.2139062081
194	0.2125628231
195	0.2113219108
196	0.2100637305
197	0.2090052539
198	0.2082335203
199	0.2072768466
200	0.206317989
201	0.2050078734
202	0.2035684076
203	0.2027794059
204	0.2016728525
205	0.2007107917
206	0.199672466
207	0.198598687
208	0.1978389361
209	0.1967207348
210	0.1954204472
211	0.1937826317
212	0.1922017163
213	0.1909352368
214	0.1897190036
215	0.1886724516
216	0.1874337524
217	0.1861705634
218	0.1850693826
219	0.1839240708
220	0.182930808
221	0.1819755904
222	0.1807327271
223	0.1797356496
224	0.1787149415
225	0.1776361975
226	0.1766397025
227	0.1756554523
228	0.1748422084
229	0.1740297361
230	0.1730361531
231	0.1721933671
232	0.1712131063
233	0.16994983
234	0.1690808653
235	0.1679013958
236	0.1667798748
237	0.1660190757
238	0.1646626887
239	0.1637616631
240	0.162227485
241	0.16139856
242	0.1602850179
243	0.159198033
244	0.1583015209
245	0.1569930069
246	0.1560933208
247	0.1551388165
248	0.1541238159
249	0.1531746842
250	0.1522106433
251	0.1513135779
252	0.1501534877
253	0.1489923783
254	0.1477259862
255	0.146567978
256	0.1452251609
257	0.1442775581
258	0.1434531467
259	0.1428222511
260	0.1416348756
261	0.1406068001
262	0.1398042868
263	0.1390243851
264	0.1379070719
265	0.1366521093
266	0.1357073602
267	0.1345325208
268	0.1334764029
269	0.1326667844
270	0.1316179902
271	0.1305599213
272	0.129562873
273	0.1285059397
274	0.1276800287
275	0.1269288682
276	0.1260768221
277	0.1253027734
278	0.1241526422
279	0.1231805932
280	0.122294244
281	0.1214104354
282	0.1205184296
283	0.119885532
284	0.1192287562
285	0.1184323871
286	0.1176918991
287	0.1169835011
288	0.1159917962
289	0.1151152094
290	0.1143657597
291	0.1134317995
292	0.1127548436
293	0.1119719207
294	0.1113575943
295	0.1105198605
296	0.1096721387
297	0.1090769295
298	0.1082338886
299	0.1077027212
300	0.1068871185
301	0.106133228
302	0.105668148
303	0.1050894351
304	0.1044441616
305	0.1036148654
306	0.102844908
307	0.1021743804
308	0.1012365618
309	0.1006103982
310	0.09998630203
311	0.09912099183
312	0.09844803992
313	0.09789980823
314	0.09723568691
315	0.09671305882
316	0.09587741444
317	0.09521494567
318	0.09462952068
319	0.09393310547
320	0.09333409608
321	0.09286853557
322	0.09239659055
323	0.09184238929
324	0.09147905393
325	0.0909705344
326	0.09036469642
327	0.08981650112
328	0.08935387444
329	0.08892157606
330	0.08845871641
331	0.08786180365
332	0.08722816351
333	0.08677820395
334	0.08625884456
335	0.08555933537
336	0.08482970172
337	0.08432731192
338	0.08385961838
339	0.08330939926
340	0.08280741713
341	0.08234262102
342	0.08177300082
343	0.08126031715
344	0.08058063857
345	0.08014258902
346	0.07964523694
