iter	Logloss
0	0.6895928091
1	0.6832519839
2	0.6777808029
3	0.6722138977
4	0.6658451828
5	0.6598824414
6	0.655301594
7	0.6499332961
8	0.6425774217
9	0.6381556215
10	0.6332748525
11	0.6291744834
12	0.6241386913
13	0.6188608616
14	0.6133297342
15	0.6078510773
16	0.6034625474
17	0.6000480159
18	0.5955304438
19	0.5916231781
20	0.5879321813
21	0.5843437607
22	0.5801083347
23	0.5758302117
24	0.5710396703
25	0.5663756574
26	0.5628521231
27	0.5590327004
28	0.5557207321
29	0.5517946171
30	0.5484513324
31	0.5447136455
32	0.5417259883
33	0.5374284318
34	0.5333995251
35	0.5303517962
36	0.5262073791
37	0.5228301935
38	0.5187407597
39	0.5155742236
40	0.5118626767
41	0.5087058616
42	0.5059891131
43	0.5032634002
44	0.4996996933
45	0.4957602468
46	0.4918949688
47	0.4892048746
48	0.4869499126
49	0.483276175
50	0.4807135123
51	0.4784861102
52	0.4762558933
53	0.4725676177
54	0.4696591258
55	0.467187406
56	0.4640478378
57	0.4613502818
58	0.4589050841
59	0.4566426552
60	0.4543398822
61	0.4523494179
62	0.449342352
63	0.446563287
64	0.4430477698
65	0.4402550346
66	0.4376887657
67	0.4345189537
68	0.4323154633
69	0.4299549012
70	0.4269630444
71	0.4243523843
72	0.4220281719
73	0.4199682682
74	0.4176513711
75	0.4147857591
76	0.4116515149
77	0.4082901059
78	0.4054142635
79	0.4032461955
80	0.4007904855
81	0.3983373438
82	0.3959736358
83	0.3942928647
84	0.3902091812
85	0.3877774059
86	0.3843823864
87	0.3825971461
88	0.379458507
89	0.3778680901
90	0.3759256486
91	0.3738646991
92	0.3720734917
93	0.3695949512
94	0.3672623167
95	0.3646247599
96	0.3627823638
97	0.3598524917
98	0.3583989747
99	0.3561228651
100	0.3544915607
101	0.3526069952
102	0.3510679231
103	0.3495133095
104	0.3473036348
105	0.3458224146
106	0.3438915775
107	0.3422851139
108	0.3408954417
109	0.3391785377
110	0.3370183716
111	0.3350080632
112	0.3332812256
113	0.3312000852
114	0.3296951612
115	0.3279091203
116	0.3267807922
117	0.3249217843
118	0.323129811
119	0.3212372722
120	0.3193451571
121	0.3177338685
122	0.3155940302
123	0.3138601551
124	0.3126628935
125	0.3102971809
126	0.3086030058
127	0.3074540689
128	0.30547449
129	0.3043830965
130	0.3027849924
131	0.3007096599
132	0.2992651847
133	0.2982639026
134	0.2962437101
135	0.2946815687
136	0.2932928517
137	0.2919667518
138	0.290665798
139	0.2893805101
140	0.2871775878
141	0.2852114581
142	0.2839013008
143	0.2825842221
144	0.2805868213
145	0.2789549249
146	0.2776005582
147	0.2763309167
148	0.2749117155
149	0.2731104004
150	0.2716323765
151	0.2702627737
152	0.2689149149
153	0.2673398404
154	0.2660136877
155	0.265542021
156	0.2645281697
157	0.263440933
158	0.2618013378
159	0.2601784411
160	0.2588711564
161	0.2576356201
162	0.2560476909
163	0.2544398767
164	0.2522771174
165	0.2512438131
166	0.249863291
167	0.2485514064
168	0.2468816617
169	0.2457745822
170	0.2442275152
171	0.2429386794
172	0.24205155
173	0.2411820931
174	0.2397755164
175	0.2387737366
176	0.2374822547
177	0.2361802326
178	0.2347118529
179	0.2328878704
180	0.2315611366
181	0.2297750193
182	0.228759645
183	0.2271622998
184	0.2261648941
185	0.22395187
186	0.2225732368
187	0.2216205482
188	0.2201554625
189	0.2188091559
190	0.2176008085
191	0.2167677094
192	0.2149134087
193	0.2139442111
194	0.2125398971
195	0.2108695361
196	0.2095097044
197	0.2082347882
198	0.2066575742
199	0.2049453309
200	0.2038246211
201	0.2026870291
202	0.201496
203	0.2004000141
204	0.1987093693
205	0.1974646185
206	0.1960809767
207	0.1948023976
208	0.1935436169
209	0.1923170851
210	0.1910626815
211	0.1899612616
212	0.1889024653
213	0.1869974027
214	0.1864287481
215	0.1853404721
216	0.1843182442
217	0.18303369
218	0.1819239519
219	0.1809121476
220	0.1792397521
221	0.1781483091
222	0.1768385231
223	0.1755896082
224	0.1740943884
225	0.1728051603
226	0.1715966643
227	0.1703219414
228	0.1692131387
229	0.1678456007
230	0.16662667
231	0.1656411481
232	0.1648384889
233	0.1640494983
234	0.1627954052
235	0.1613922532
236	0.1601826835
237	0.1589059672
238	0.1578603912
239	0.1567152125
240	0.1554611209
241	0.1543316036
242	0.1529569379
243	0.1516119673
244	0.1505582365
245	0.1495567797
246	0.1483988912
247	0.1474700691
248	0.1466349968
249	0.1455203977
250	0.143983792
251	0.1431234304
252	0.1419224662
253	0.1407501633
