iter	Passed	Remaining
0	26	39931
1	37	27734
2	47	23905
3	59	22102
4	68	20582
5	79	19681
6	88	18828
7	98	18320
8	108	17900
9	117	17502
10	126	17168
11	136	16895
12	145	16659
13	155	16474
14	164	16333
15	174	16199
16	184	16110
17	194	16035
18	204	15932
19	214	15848
20	224	15786
21	234	15739
22	244	15674
23	253	15593
24	263	15519
25	272	15467
26	282	15438
27	293	15427
28	303	15395
29	313	15374
30	323	15338
31	333	15278
32	342	15242
33	352	15195
34	362	15155
35	371	15108
36	380	15057
37	390	15029
38	400	15011
39	410	14972
40	420	14952
41	429	14925
42	439	14893
43	449	14860
44	458	14821
45	467	14792
46	477	14760
47	487	14733
48	497	14719
49	506	14687
50	515	14660
51	525	14629
52	534	14601
53	545	14609
54	555	14582
55	564	14559
56	574	14536
57	583	14509
58	593	14499
59	603	14475
60	612	14456
61	622	14439
62	632	14429
63	642	14407
64	651	14385
65	661	14361
66	670	14335
67	679	14312
68	689	14304
69	699	14288
70	708	14266
71	718	14254
72	729	14255
73	739	14253
74	749	14242
75	759	14227
76	769	14218
77	779	14207
78	789	14201
79	799	14191
80	809	14186
81	820	14188
82	830	14175
83	841	14180
84	853	14213
85	866	14242
86	876	14230
87	886	14227
88	896	14216
89	906	14204
90	916	14193
91	926	14180
92	936	14166
93	946	14152
94	956	14139
95	965	14119
96	974	14100
97	984	14086
98	994	14069
99	1004	14056
100	1013	14040
101	1023	14025
102	1033	14013
103	1042	13993
104	1052	13981
105	1062	13971
106	1072	13956
107	1081	13937
108	1091	13923
109	1100	13909
110	1110	13897
111	1119	13878
112	1129	13862
113	1139	13851
114	1148	13836
115	1158	13822
116	1168	13808
117	1177	13796
118	1188	13789
119	1197	13776
120	1207	13760
121	1216	13745
122	1226	13732
123	1236	13721
124	1245	13703
125	1255	13690
126	1264	13675
127	1274	13661
128	1284	13647
129	1293	13630
130	1302	13614
131	1312	13597
132	1321	13582
133	1331	13575
134	1341	13564
135	1351	13550
136	1360	13537
137	1370	13524
138	1380	13516
139	1389	13501
140	1399	13492
141	1409	13478
142	1418	13465
143	1429	13456
144	1438	13447
145	1448	13435
146	1458	13421
147	1468	13414
148	1478	13405
149	1488	13392
150	1497	13374
151	1506	13362
152	1516	13348
153	1528	13361
154	1539	13354
155	1549	13346
156	1558	13331
157	1568	13320
158	1578	13309
159	1587	13297
160	1597	13284
161	1606	13270
162	1616	13258
163	1626	13250
164	1636	13238
165	1645	13223
166	1654	13207
167	1664	13195
168	1674	13186
169	1683	13174
170	1693	13160
171	1702	13145
172	1712	13134
173	1721	13122
174	1731	13112
175	1741	13100
176	1751	13088
177	1760	13076
178	1770	13065
179	1779	13052
180	1789	13039
181	1798	13026
182	1808	13013
183	1818	13002
184	1828	12996
185	1837	12981
186	1847	12970
187	1856	12957
188	1866	12944
189	1875	12931
190	1885	12919
191	1894	12907
192	1904	12894
193	1913	12883
194	1923	12871
195	1933	12860
196	1942	12850
197	1952	12841
198	1962	12827
199	1972	12821
200	1982	12810
201	1991	12797
202	2001	12785
203	2010	12774
204	2020	12764
205	2030	12751
206	2039	12738
207	2049	12727
208	2058	12716
209	2069	12710
210	2078	12699
211	2088	12686
212	2097	12673
213	2106	12661
214	2116	12650
215	2126	12638
216	2135	12625
217	2144	12612
218	2154	12604
219	2164	12594
220	2174	12586
221	2184	12574
222	2193	12561
223	2202	12549
224	2213	12540
225	2222	12529
226	2232	12517
227	2241	12505
228	2250	12492
229	2260	12482
230	2270	12471
231	2279	12461
232	2289	12450
233	2298	12437
234	2308	12427
235	2318	12418
236	2327	12406
237	2337	12393
238	2346	12382
239	2356	12370
240	2365	12359
241	2375	12349
242	2385	12338
243	2394	12327
244	2404	12318
245	2414	12309
246	2424	12296
247	2433	12287
248	2443	12277
249	2453	12267
250	2463	12257
251	2473	12247
252	2482	12237
253	2492	12225
254	2501	12214
255	2511	12204
256	2521	12196
257	2531	12187
258	2541	12175
259	2550	12163
260	2560	12153
261	2569	12142
262	2579	12132
263	2590	12126
264	2599	12116
265	2609	12106
266	2619	12095
267	2628	12084
268	2638	12073
269	2647	12061
270	2658	12054
271	2667	12043
272	2676	12030
273	2686	12019
274	2695	12006
275	2705	11997
276	2715	11990
277	2725	11980
278	2735	11972
279	2745	11961
280	2754	11950
281	2764	11942
282	2774	11932
283	2784	11924
284	2794	11913
285	2804	11903
286	2814	11893
287	2824	11884
288	2833	11875
289	2844	11868
290	2854	11858
291	2863	11847
292	2873	11836
293	2883	11826
294	2892	11816
295	2902	11806
296	2912	11795
297	2921	11783
298	2931	11773
299	2941	11765
300	2950	11754
301	2960	11744
302	2970	11735
303	2980	11725
304	2990	11714
305	3000	11707
306	3009	11696
307	3019	11684
308	3028	11673
309	3038	11664
310	3048	11655
311	3057	11643
312	3067	11634
313	3077	11625
314	3087	11615
315	3097	11604
316	3106	11594
317	3116	11583
318	3125	11572
319	3135	11562
320	3145	11551
321	3155	11543
322	3165	11534
323	3174	11523
324	3184	11512
325	3193	11501
326	3203	11492
327	3213	11481
328	3222	11471
329	3233	11462
330	3242	11452
331	3252	11442
332	3262	11431
333	3271	11419
334	3280	11408
335	3290	11398
336	3299	11388
337	3309	11377
338	3318	11366
339	3328	11355
340	3337	11345
341	3347	11335
342	3357	11324
343	3366	11314
344	3376	11303
345	3386	11293
346	3395	11282
347	3405	11271
348	3414	11260
349	3424	11251
350	3434	11243
351	3444	11234
352	3454	11224
353	3464	11214
354	3473	11203
355	3483	11193
356	3492	11183
357	3502	11173
358	3512	11162
359	3521	11150
360	3530	11139
361	3540	11130
362	3550	11120
363	3559	11110
364	3569	11099
365	3578	11089
366	3590	11083
367	3599	11072
368	3608	11061
369	3618	11049
370	3627	11038
371	3638	11031
372	3647	11020
373	3656	11009
374	3666	10999
375	3676	10989
376	3686	10980
377	3695	10969
378	3705	10959
379	3714	10948
380	3724	10939
381	3734	10930
382	3744	10921
383	3754	10911
384	3763	10900
385	3773	10890
386	3783	10880
387	3792	10870
388	3802	10859
389	3812	10849
390	3821	10839
391	3831	10829
392	3841	10819
393	3850	10809
394	3860	10798
395	3870	10789
396	3879	10778
397	3889	10769
398	3899	10758
399	3908	10748
400	3918	10738
401	3927	10728
402	3937	10718
403	3947	10709
404	3957	10699
405	3967	10689
406	3976	10678
407	3985	10668
408	3995	10657
409	4004	10647
410	4014	10636
411	4023	10625
412	4033	10615
413	4042	10604
414	4052	10595
415	4062	10585
416	4072	10576
417	4082	10567
418	4091	10557
419	4101	10546
420	4110	10535
421	4120	10524
422	4129	10515
423	4139	10505
424	4149	10495
425	4158	10485
426	4168	10475
427	4178	10466
428	4188	10456
429	4197	10445
430	4207	10435
431	4216	10424
432	4226	10415
433	4236	10404
434	4245	10394
435	4255	10384
436	4264	10373
437	4274	10364
438	4284	10354
439	4294	10344
440	4303	10333
441	4312	10323
442	4322	10314
443	4332	10304
444	4342	10295
445	4352	10285
446	4361	10275
447	4371	10265
448	4381	10255
449	4391	10246
450	4401	10236
451	4410	10225
452	4420	10215
453	4430	10206
454	4439	10196
455	4448	10185
456	4458	10175
457	4468	10165
458	4478	10156
459	4488	10147
460	4498	10138
461	4507	10127
462	4517	10117
463	4527	10107
464	4536	10097
465	4546	10087
466	4555	10077
467	4565	10067
468	4575	10057
469	4585	10048
470	4595	10039
471	4604	10029
472	4614	10018
473	4624	10009
474	4633	9999
475	4643	9989
476	4653	9979
477	4662	9969
478	4672	9959
479	4682	9949
480	4692	9940
481	4701	9930
482	4711	9919
483	4720	9909
484	4730	9899
485	4739	9888
486	4749	9878
487	4758	9868
488	4768	9858
489	4777	9848
490	4787	9838
491	4797	9829
492	4807	9819
493	4817	9810
494	4826	9800
495	4836	9790
496	4846	9779
497	4855	9770
498	4866	9761
499	4875	9750
500	4885	9740
501	4894	9730
502	4904	9720
503	4914	9711
504	4923	9701
505	4932	9690
506	4943	9681
507	4952	9671
508	4978	9693
509	4998	9703
510	5017	9710
511	5031	9708
512	5042	9701
513	5051	9690
514	5061	9680
515	5071	9670
516	5081	9661
517	5090	9650
518	5099	9639
519	5109	9629
520	5119	9620
521	5129	9609
522	5139	9600
523	5149	9590
524	5158	9580
525	5168	9571
526	5178	9561
527	5188	9550
528	5197	9540
529	5206	9529
530	5217	9520
531	5226	9510
532	5236	9500
533	5246	9490
534	5255	9480
535	5265	9470
536	5275	9460
537	5284	9449
538	5293	9438
539	5303	9427
540	5313	9418
541	5322	9408
542	5332	9398
543	5341	9387
544	5351	9376
545	5360	9366
546	5384	9381
547	5394	9372
548	5404	9362
549	5415	9353
550	5425	9345
551	5436	9336
552	5446	9327
553	5457	9319
554	5468	9311
555	5479	9303
556	5490	9295
557	5500	9285
558	5510	9276
559	5520	9266
560	5530	9256
561	5539	9245
562	5549	9235
563	5559	9225
564	5568	9215
565	5578	9205
566	5588	9195
567	5598	9185
568	5608	9175
569	5617	9165
570	5627	9155
571	5637	9145
572	5646	9135
573	5656	9125
574	5666	9115
575	5676	9105
576	5685	9094
577	5695	9084
578	5704	9074
579	5714	9064
580	5724	9054
581	5734	9044
582	5744	9035
583	5754	9025
584	5764	9015
585	5773	9005
586	5783	8994
587	5792	8984
588	5802	8974
589	5812	8964
590	5822	8954
591	5831	8944
592	5841	8934
593	5851	8924
594	5860	8914
595	5870	8904
596	5880	8893
597	5889	8883
598	5899	8874
599	5909	8863
600	5918	8853
601	5928	8843
602	5937	8833
603	5948	8824
604	5958	8814
605	5968	8804
606	5978	8794
607	5988	8785
608	5998	8775
609	6007	8765
610	6017	8755
611	6026	8744
612	6036	8734
613	6045	8723
614	6055	8714
615	6065	8703
616	6075	8694
617	6085	8684
618	6094	8673
619	6104	8663
620	6113	8653
621	6123	8643
622	6132	8633
623	6142	8622
624	6152	8613
625	6162	8603
626	6171	8592
627	6180	8582
628	6190	8571
629	6199	8561
630	6209	8551
631	6218	8540
632	6228	8530
633	6237	8520
634	6247	8510
635	6257	8501
636	6267	8490
637	6276	8480
638	6285	8469
639	6295	8459
640	6304	8449
641	6314	8438
642	6323	8428
643	6333	8417
644	6342	8407
645	6352	8397
646	6362	8387
647	6371	8377
648	6380	8366
649	6390	8356
650	6399	8346
651	6409	8335
652	6418	8325
653	6428	8315
654	6438	8305
655	6447	8295
656	6457	8285
657	6467	8275
658	6477	8265
659	6486	8256
660	6496	8246
661	6506	8235
662	6515	8225
663	6525	8215
664	6534	8205
665	6544	8195
666	6553	8185
667	6563	8174
668	6572	8164
669	6582	8153
670	6593	8145
671	6602	8135
672	6611	8124
673	6621	8114
674	6631	8105
675	6641	8095
676	6650	8085
677	6660	8074
678	6669	8064
679	6679	8054
680	6689	8044
681	6698	8034
682	6707	8023
683	6717	8013
684	6727	8003
685	6737	7994
686	6747	7985
687	6757	7975
688	6767	7965
689	6776	7954
690	6786	7945
691	6796	7936
692	6806	7926
693	6815	7915
694	6825	7905
695	6834	7895
696	6844	7885
697	6854	7875
698	6863	7865
699	6873	7855
700	6883	7845
701	6893	7835
702	6902	7825
703	6912	7815
704	6921	7805
705	6931	7795
706	6941	7785
707	6951	7775
708	6960	7765
709	6969	7755
710	6979	7745
711	6989	7735
712	6999	7725
713	7008	7715
714	7017	7705
715	7027	7695
716	7037	7685
717	7047	7675
718	7056	7665
719	7065	7654
720	7076	7645
721	7086	7635
722	7095	7625
723	7105	7616
724	7115	7606
725	7125	7596
726	7135	7586
727	7144	7576
728	7154	7566
729	7163	7556
730	7173	7546
731	7183	7536
732	7192	7526
733	7202	7516
734	7211	7506
735	7221	7495
736	7230	7486
737	7240	7475
738	7249	7465
739	7259	7455
740	7268	7445
741	7280	7437
742	7289	7427
743	7299	7417
744	7308	7407
745	7318	7396
746	7328	7387
747	7338	7377
748	7348	7367
749	7357	7357
750	7366	7347
751	7376	7337
752	7386	7327
753	7396	7318
754	7405	7307
755	7415	7297
756	7425	7288
757	7435	7278
758	7445	7268
759	7455	7259
760	7465	7249
761	7475	7240
762	7486	7230
763	7496	7221
764	7506	7212
765	7516	7202
766	7526	7193
767	7536	7183
768	7547	7174
769	7556	7163
770	7566	7154
771	7576	7144
772	7587	7135
773	7597	7126
774	7607	7116
775	7617	7107
776	7628	7098
777	7638	7088
778	7648	7078
779	7657	7068
780	7667	7059
781	7677	7049
782	7687	7039
783	7698	7030
784	7708	7021
785	7719	7012
786	7729	7002
787	7739	6993
788	7749	6983
789	7759	6973
790	7769	6963
791	7779	6954
792	7789	6944
793	7799	6934
794	7808	6924
795	7818	6914
796	7828	6905
797	7837	6895
798	7847	6884
799	7856	6874
800	7866	6864
801	7876	6854
802	7885	6844
803	7894	6834
804	7904	6824
805	7914	6814
806	7924	6804
807	7933	6794
808	7943	6785
809	7953	6775
810	7963	6765
811	7972	6755
812	7982	6745
813	7991	6735
814	8001	6724
815	8011	6715
816	8020	6705
817	8030	6695
818	8040	6685
819	8049	6675
820	8059	6665
821	8068	6655
822	8078	6645
823	8088	6635
824	8098	6625
825	8107	6615
826	8117	6606
827	8127	6596
828	8136	6586
829	8147	6576
830	8157	6567
831	8167	6557
832	8177	6547
833	8186	6537
834	8196	6527
835	8206	6517
836	8215	6507
837	8225	6497
838	8235	6488
839	8244	6477
840	8253	6467
841	8263	6457
842	8273	6447
843	8282	6437
844	8292	6427
845	8301	6417
846	8311	6407
847	8321	6397
848	8330	6387
849	8340	6377
850	8349	6367
851	8359	6357
852	8370	6348
853	8380	6339
854	8390	6329
855	8400	6319
856	8409	6309
857	8419	6300
858	8429	6290
859	8439	6280
860	8448	6270
861	8459	6260
862	8468	6250
863	8478	6241
864	8488	6231
865	8498	6221
866	8508	6211
867	8518	6202
868	8527	6191
869	8536	6181
870	8546	6171
871	8555	6161
872	8565	6151
873	8575	6141
874	8584	6131
875	8595	6122
876	8604	6112
877	8615	6103
878	8624	6093
879	8634	6083
880	8643	6073
881	8653	6063
