iter	Passed	Remaining
0	161	97008
1	225	67314
2	288	57446
3	352	52545
4	419	49890
5	482	47773
6	546	46276
7	609	45129
8	673	44247
9	736	43467
10	799	42816
11	863	42331
12	926	41857
13	991	41500
14	1054	41110
15	1117	40796
16	1180	40498
17	1243	40214
18	1306	39953
19	1369	39717
20	1435	39578
21	1500	39409
22	1563	39225
23	1627	39052
24	1691	38897
25	1754	38730
26	1817	38568
27	1881	38434
28	1944	38285
29	2008	38152
30	2071	38024
31	2134	37890
32	2198	37780
33	2262	37660
34	2325	37533
35	2388	37419
36	2453	37325
37	2518	37241
38	2580	37124
39	2644	37021
40	2708	36927
41	2771	36821
42	2834	36713
43	2897	36618
44	2960	36517
45	3025	36434
46	3088	36337
47	3151	36242
48	3215	36153
49	3278	36058
50	3342	35976
51	3405	35893
52	3472	35839
53	3541	35810
54	3608	35753
55	3675	35701
56	3741	35641
57	3804	35550
58	3869	35477
59	3932	35388
60	3995	35302
61	4059	35222
62	4122	35137
63	4185	35052
64	4248	34971
65	4312	34889
66	4375	34809
67	4439	34731
68	4503	34660
69	4566	34578
70	4630	34502
71	4694	34425
72	4757	34342
73	4820	34267
74	4886	34204
75	4949	34124
76	5013	34051
77	5076	33974
78	5139	33897
79	5203	33823
80	5266	33745
81	5329	33669
82	5393	33595
83	5456	33517
84	5520	33449
85	5592	33424
86	5656	33351
87	5720	33284
88	5784	33209
89	5847	33133
90	5910	33058
91	5974	32991
92	6037	32916
93	6101	32842
94	6164	32769
95	6228	32697
96	6291	32623
97	6354	32551
98	6418	32480
99	6481	32407
100	6544	32333
101	6608	32262
102	6671	32191
103	6734	32120
104	6798	32050
105	6863	31986
106	6926	31914
107	6991	31849
108	7054	31778
109	7119	31712
110	7182	31642
111	7245	31570
112	7308	31496
113	7371	31427
114	7434	31355
115	7497	31284
116	7561	31215
117	7624	31144
118	7688	31076
119	7752	31008
120	7814	30935
121	7878	30867
122	7941	30798
123	8006	30735
124	8073	30677
125	8135	30605
126	8198	30534
127	8262	30467
128	8326	30400
129	8389	30330
130	8451	30257
131	8514	30189
132	8577	30118
133	8642	30055
134	8705	29986
135	8770	29924
136	8835	29859
137	8900	29796
138	8966	29736
139	9032	29677
140	9102	29630
141	9170	29576
142	9233	29509
143	9298	29444
144	9361	29376
145	9424	29306
146	9487	29236
147	9549	29164
148	9613	29098
149	9677	29032
150	9740	28962
151	9803	28895
152	9866	28824
153	9929	28757
154	9992	28689
155	10056	28622
156	10120	28557
157	10184	28489
158	10247	28422
159	10310	28354
160	10375	28290
161	10438	28221
162	10501	28153
163	10564	28086
164	10627	28018
165	10692	27954
166	10755	27886
167	10819	27820
168	10882	27752
169	10945	27685
170	11008	27617
171	11071	27549
172	11134	27483
173	11199	27419
174	11263	27354
175	11326	27286
176	11390	27222
177	11453	27154
178	11517	27088
179	11579	27019
180	11644	26954
181	11707	26889
182	11772	26825
183	11836	26761
184	11899	26693
185	11963	26628
186	12026	26560
187	12089	26493
188	12152	26426
189	12217	26363
190	12280	26297
191	12344	26231
192	12407	26165
193	12470	26098
194	12533	26031
195	12596	25963
196	12659	25897
197	12723	25832
198	12787	25768
199	12851	25702
200	12915	25637
201	12979	25574
202	13046	25514
203	13109	25447
204	13173	25383
205	13237	25318
206	13300	25252
207	13364	25186
208	13427	25120
209	13490	25053
210	13554	24988
211	13617	24923
212	13681	24857
213	13745	24792
214	13808	24727
215	13871	24661
216	13935	24595
217	13998	24528
218	14061	24462
219	14124	24396
220	14187	24330
221	14254	24270
222	14320	24210
223	14386	24149
224	14454	24090
225	14527	24040
226	14593	23980
227	14657	23914
228	14721	23849
229	14784	23784
230	14849	23720
231	14911	23653
232	14974	23586
233	15036	23519
234	15100	23453
235	15162	23386
236	15226	23322
237	15291	23258
238	15355	23193
239	15417	23126
240	15481	23061
241	15545	22997
242	15608	22930
243	15672	22866
244	15735	22800
245	15800	22737
246	15865	22674
247	15928	22608
248	15992	22543
249	16055	22477
250	16118	22411
251	16181	22345
252	16245	22281
253	16310	22217
254	16374	22153
255	16437	22087
256	16500	22021
257	16562	21955
258	16626	21890
259	16689	21825
260	16752	21759
261	16817	21695
262	16880	21630
263	16944	21565
264	17007	21500
265	17070	21434
266	17134	21369
267	17196	21303
268	17260	21238
269	17324	21174
270	17387	21109
271	17451	21044
272	17514	20979
273	17579	20915
274	17642	20850
275	17705	20784
276	17769	20720
277	17834	20657
278	17897	20591
279	17960	20526
280	18028	20467
281	18093	20403
282	18160	20342
283	18225	20279
284	18291	20217
285	18354	20151
286	18419	20088
287	18483	20023
288	18546	19958
289	18610	19893
290	18673	19828
291	18737	19763
292	18800	19699
293	18872	19642
294	18938	19580
295	19002	19515
296	19082	19468
297	19146	19403
298	19209	19338
299	19273	19273
300	19339	19211
301	19403	19146
302	19469	19083
303	19535	19020
304	19601	18958
305	19667	18896
306	19734	18834
307	19800	18772
308	19869	18712
309	19935	18649
310	20002	18587
311	20067	18524
312	20131	18459
313	20195	18394
314	20259	18329
315	20324	18266
316	20389	18202
317	20453	18137
318	20518	18074
319	20581	18008
320	20644	17943
321	20708	17878
322	20772	17814
323	20836	17749
324	20900	17684
325	20965	17621
326	21029	17556
327	21092	17490
328	21155	17425
329	21218	17360
330	21281	17295
331	21345	17230
332	21408	17165
333	21473	17101
334	21537	17036
335	21600	16972
336	21664	16907
337	21728	16842
338	21791	16777
339	21855	16712
340	21918	16647
341	21982	16583
342	22045	16518
343	22109	16453
344	22172	16388
345	22235	16322
346	22299	16258
347	22363	16193
